epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,2833.32,0.47944,0.2367,0.82748,0.99636,1,0.99498,0.91293,0.45274,0.20198,0.84233,0.0013268,0.0013268,0.0013268
25,2760.56,0.46947,0.22913,0.82774,0.99586,0.99911,0.99499,0.91562,0.45299,0.20538,0.84332,0.0010496,0.0010496,0.0010496
26,2861.97,0.46611,0.22697,0.82676,0.99644,0.99803,0.99498,0.91857,0.45615,0.20477,0.84405,0.00101,0.00101,0.00101
19,2990.48,0.47207,0.23489,0.82962,0.99645,0.99983,0.995,0.91256,0.46342,0.21645,0.84633,0.0012872,0.0012872,0.0012872
27,2961.81,0.46266,0.22253,0.82645,0.99645,0.99903,0.99498,0.91494,0.44472,0.19942,0.84155,0.0009704,0.0009704,0.0009704
20,3148.98,0.4675,0.23267,0.8276,0.99366,1,0.99497,0.91639,0.45358,0.20109,0.84505,0.0012476,0.0012476,0.0012476
28,3061.13,0.45858,0.22093,0.82417,0.99556,0.99727,0.99498,0.91535,0.44903,0.20039,0.84366,0.0009308,0.0009308,0.0009308
29,3152.39,0.45833,0.21817,0.82585,0.99644,0.99622,0.995,0.91305,0.44164,0.19357,0.8411,0.0008912,0.0008912,0.0008912
21,3296.9,0.47137,0.2306,0.82625,0.99469,0.99991,0.99497,0.90998,0.44771,0.20502,0.84441,0.001208,0.001208,0.001208
30,3246.79,0.4577,0.21784,0.82541,0.99468,0.99817,0.99496,0.91633,0.45075,0.20372,0.84582,0.0008516,0.0008516,0.0008516
22,3451.95,0.46689,0.2312,0.82451,0.99558,0.99911,0.995,0.91148,0.45878,0.21233,0.82541,0.0011684,0.0011684,0.0011684
31,3344.05,0.46131,0.21914,0.83285,0.99469,0.99994,0.99497,0.9142,0.45058,0.19978,0.84469,0.000812,0.000812,0.000812
32,3436.29,0.46016,0.21577,0.82544,0.99547,1,0.99499,0.91894,0.45307,0.18932,0.84372,0.0007724,0.0007724,0.0007724
23,3598.2,0.46763,0.23212,0.82622,0.99645,0.99907,0.99496,0.91444,0.45535,0.2079,0.8483,0.0011288,0.0011288,0.0011288
33,3527.39,0.45503,0.21058,0.82737,0.99116,0.99824,0.99494,0.91689,0.44911,0.19048,0.84467,0.0007328,0.0007328,0.0007328
34,3619.37,0.44848,0.20898,0.82125,0.9954,0.99644,0.99498,0.91915,0.4418,0.19029,0.83883,0.0006932,0.0006932,0.0006932
24,3746.39,0.46395,0.22938,0.82659,0.99452,0.99911,0.99499,0.91081,0.45856,0.205,0.8453,0.0010892,0.0010892,0.0010892
35,3713.09,0.45575,0.21097,0.82549,0.99555,0.99598,0.99498,0.91878,0.44484,0.19254,0.8408,0.0006536,0.0006536,0.0006536
25,3896.16,0.46947,0.22913,0.82774,0.99586,0.99911,0.99499,0.91562,0.45299,0.20538,0.84332,0.0010496,0.0010496,0.0010496
36,3805.8,0.45023,0.20732,0.8243,0.99468,0.99898,0.995,0.9186,0.44786,0.19579,0.83104,0.000614,0.000614,0.000614
37,3897.96,0.45213,0.20746,0.82117,0.9938,0.99911,0.99496,0.91661,0.44878,0.19346,0.83188,0.0005744,0.0005744,0.0005744
26,4042.53,0.46611,0.22697,0.82676,0.99644,0.99803,0.99498,0.91857,0.45615,0.20477,0.84405,0.00101,0.00101,0.00101
38,3989.13,0.45081,0.20811,0.82112,0.99467,0.99717,0.995,0.91522,0.44162,0.18796,0.82694,0.0005348,0.0005348,0.0005348
27,4188.4,0.46266,0.22253,0.82645,0.99645,0.99903,0.99498,0.91494,0.44472,0.19942,0.84155,0.0009704,0.0009704,0.0009704
39,4080.52,0.44579,0.20605,0.82267,0.99548,0.99822,0.995,0.91935,0.44273,0.18746,0.83673,0.0004952,0.0004952,0.0004952
40,4173.1,0.44342,0.20318,0.82316,0.99733,0.99653,0.995,0.91571,0.44224,0.18181,0.84221,0.0004556,0.0004556,0.0004556
28,4335.4,0.45858,0.22093,0.82417,0.99556,0.99727,0.99498,0.91535,0.44903,0.20039,0.84366,0.0009308,0.0009308,0.0009308
41,4255.94,0.43671,0.19274,0.81652,0.99555,0.99911,0.99499,0.91744,0.44479,0.18823,0.84294,0.000416,0.000416,0.000416
42,4340,0.43532,0.19217,0.81703,0.99556,0.99911,0.99499,0.91631,0.44883,0.18976,0.8442,0.0003764,0.0003764,0.0003764
29,4485.08,0.45833,0.21817,0.82585,0.99644,0.99622,0.995,0.91305,0.44164,0.19357,0.8411,0.0008912,0.0008912,0.0008912
43,4422.58,0.43588,0.19165,0.81525,0.99628,0.99822,0.99489,0.91392,0.44649,0.19002,0.84377,0.0003368,0.0003368,0.0003368
44,4506.04,0.43399,0.19063,0.81798,0.99616,0.99911,0.99479,0.91464,0.4434,0.1864,0.84301,0.0002972,0.0002972,0.0002972
30,4631.98,0.4577,0.21784,0.82541,0.99468,0.99817,0.99496,0.91633,0.45075,0.20372,0.84582,0.0008516,0.0008516,0.0008516
